Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,Accident Year,Age Group of Casualty,Time Period
1,2010-08-10,644,Dry,Daylight: street lights present,Fine without high winds,Driver,Fatal,Female,20,Car,2010,Adult,Daytime
3,2010-08-11,1320,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car,2010,Adult,Noon
1,2010-08-11,1605,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,51,Motorcycle over 50cc and up to 125cc,2010,Adult,Noon
2,2010-08-11,2000,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,38,Pedal cycle,2010,Adult,Night
2,2010-08-11,720,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,37,Car,2010,Adult,Daytime
2,2010-08-11,720,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car,2010,Adult,Daytime
2,2010-08-11,720,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,21,Car,2010,Adult,Daytime
2,2010-08-11,720,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,40,Car,2010,Adult,Daytime
2,2010-08-12,745,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,50,Car,2010,Adult,Daytime
1,2010-08-12,1455,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Goods vehicle 3.5 tonnes mgw and under,2010,Child,Noon
3,2010-08-12,1735,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,28,Car,2010,Adult,Noon
3,2010-08-12,1735,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,Car,2010,Adult,Noon
1,2010-08-12,1735,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,62,Bus or coach (17 or more passenger seats),2010,Adult,Noon
2,2010-08-12,730,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,36,Motorcycle over 500cc,2010,Adult,Daytime
2,2010-08-12,1430,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Car,2010,Adult,Noon
2,2010-08-12,1430,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,18,Car,2010,Adult,Noon
2,2010-08-13,1425,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,52,Car,2010,Adult,Noon
2,2010-08-13,1457,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,17,Motorcycle over 50cc and up to 125cc,2010,Child,Noon
2,2010-08-13,1438,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,77,Bus or coach (17 or more passenger seats),2010,Elderly,Noon
2,2010-08-14,1650,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,40,Motorcycle over 50cc and up to 125cc,2010,Adult,Noon
1,2010-08-15,655,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Motorcycle over 500cc,2010,Adult,Daytime
2,2010-08-15,1547,Dry,Daylight: street lights present,Fine without high winds,Driver,Fatal,Male,38,Motorcycle over 125cc and up to 500cc,2010,Adult,Noon
2,2010-08-15,422,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,31,Taxi/Private hire car,2010,Adult,Midnight
2,2010-08-15,422,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Male,26,Car,2010,Adult,Midnight
2,2010-08-16,945,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,58,Motorcycle over 500cc,2010,Adult,Daytime
2,2010-08-16,943,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,28,Car,2010,Adult,Daytime
1,2010-08-16,1237,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,80,Car,2010,Elderly,Noon
1,2010-08-17,1235,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,Bus or coach (17 or more passenger seats),2010,Adult,Noon
2,2010-08-17,1710,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Pedal cycle,2010,Adult,Noon
2,2010-08-18,1530,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,33,Car,2010,Adult,Noon
1,2010-08-18,2315,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,31,Car,2010,Adult,Night
2,2010-08-18,630,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,56,Motorcycle over 125cc and up to 500cc,2010,Adult,Daytime
2,2010-08-18,2125,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,11,Car,2010,Child,Night
1,2010-08-18,1100,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,22,Car,2010,Adult,Daytime
4,2010-08-18,1901,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,36,Car,2010,Adult,Night
2,2010-08-19,1500,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Pedal cycle,2010,Adult,Noon
1,2010-08-19,1850,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,16,Car,2010,Child,Night
1,2010-08-19,2300,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,37,Car,2010,Adult,Night
1,2010-08-19,1420,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Goods vehicle 3.5 tonnes mgw and under,2010,Adult,Noon
3,2010-08-19,1140,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,51,Car,2010,Adult,Daytime
1,2010-08-19,1715,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,14,Car,2010,Child,Noon
4,2010-08-19,1853,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Serious,Male,15,Car,2010,Child,Night
4,2010-08-19,1853,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,37,Car,2010,Adult,Night
2,2010-08-20,1600,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,13,Pedal cycle,2010,Child,Noon
3,2010-08-20,1410,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,21,Car,2010,Adult,Noon
3,2010-08-20,1410,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Car,2010,Adult,Noon
3,2010-08-20,1410,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,42,Car,2010,Adult,Noon
1,2010-08-20,1645,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,15,Car,2010,Child,Noon
2,2010-08-20,2125,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,19,Motorcycle over 50cc and up to 125cc,2010,Adult,Night
2,2010-08-20,1645,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,1,Car,2010,Toddler,Noon
1,2010-08-20,1935,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,34,Car,2010,Adult,Night
1,2010-08-20,553,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,37,Car,2010,Adult,Midnight
2,2010-08-20,1420,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,50,Car,2010,Adult,Noon
2,2010-08-20,1420,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Car,2010,Adult,Noon
2,2010-08-20,1420,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,12,Car,2010,Child,Noon
2,2010-08-21,1309,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,75,Car,2010,Elderly,Noon
2,2010-08-21,1309,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,72,Car,2010,Elderly,Noon
2,2010-08-21,1900,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,31,Minibus (8 – 16 passenger seats),2010,Adult,Night
2,2010-08-21,1035,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,44,Motorcycle over 125cc and up to 500cc,2010,Adult,Daytime
2,2010-08-21,1035,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,47,Motorcycle over 125cc and up to 500cc,2010,Adult,Daytime
2,2010-08-21,715,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car,2010,Adult,Daytime
1,2010-08-22,55,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,20,Car,2010,Adult,Midnight
2,2010-08-22,1855,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,60,Car,2010,Adult,Night
2,2010-08-22,1045,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Pedal cycle,2010,Adult,Daytime
1,2010-08-22,320,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Female,18,Car,2010,Adult,Midnight
1,2010-08-22,320,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,18,Car,2010,Adult,Midnight
2,2010-08-23,1000,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,46,Pedal cycle,2010,Adult,Daytime
2,2010-08-23,1345,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,24,Car,2010,Adult,Noon
3,2010-08-23,1440,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,25,Car,2010,Adult,Noon
1,2010-08-23,1310,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,16,Car,2010,Child,Noon
2,2010-08-23,625,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,22,Car,2010,Adult,Daytime
2,2010-08-23,625,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,23,Car,2010,Adult,Daytime
1,2010-08-24,1045,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,64,Bus or coach (17 or more passenger seats),2010,Adult,Daytime
1,2010-08-24,1730,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,4,Car,2010,Child,Noon
2,2010-08-24,1700,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,86,Car,2010,Elderly,Noon
2,2010-08-24,1730,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,40,Car,2010,Adult,Noon
1,2010-08-24,850,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Serious,Male,56,Car,2010,Adult,Daytime
2,2010-08-24,2100,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,24,Car,2010,Adult,Night
2,2010-08-24,2100,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,22,Car,2010,Adult,Night
2,2010-08-24,1115,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,41,Car,2010,Adult,Daytime
1,2010-08-25,1100,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,81,Bus or coach (17 or more passenger seats),2010,Elderly,Daytime
2,2010-08-25,1540,Dry,Daylight: street lights present,Unknown,Driver,Slight,Male,20,Car,2010,Adult,Noon
1,2010-08-25,1320,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,56,Bus or coach (17 or more passenger seats),2010,Adult,Noon
1,2010-08-26,845,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,22,Car,2010,Adult,Daytime
2,2010-08-26,1305,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Car,2010,Adult,Noon
2,2010-08-26,1305,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,42,Car,2010,Adult,Noon
1,2010-08-26,830,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,75,Bus or coach (17 or more passenger seats),2010,Elderly,Daytime
3,2010-08-26,1016,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,58,Car,2010,Adult,Daytime
3,2010-08-26,1016,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,38,Car,2010,Adult,Daytime
3,2010-08-26,1016,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,36,Car,2010,Adult,Daytime
2,2010-08-27,1350,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,52,Bus or coach (17 or more passenger seats),2010,Adult,Noon
2,2010-08-27,810,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Pedal cycle,2010,Adult,Daytime
1,2010-08-27,2334,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,25,Car,2010,Adult,Night
1,2010-08-27,2334,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,22,Car,2010,Adult,Night
2,2010-08-27,1235,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Car,2010,Adult,Noon
2,2010-08-27,1235,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,41,Car,2010,Adult,Noon
2,2010-08-27,1530,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,16,M/cycle 50cc and under,2010,Child,Noon
2,2010-08-28,2250,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,75,Car,2010,Elderly,Night
2,2010-08-29,1125,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Motorcycle over 500cc,2010,Adult,Daytime
2,2010-08-29,2159,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,22,Car,2010,Adult,Night
4,2010-08-29,1030,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,18,Car,2010,Adult,Daytime
4,2010-08-29,1030,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,20,Car,2010,Adult,Daytime
1,2010-08-29,1411,Dry,Daylight: street lights present,Fine with high winds,Driver,Slight,Female,23,Pedal cycle,2010,Adult,Noon
1,2010-08-29,40,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,38,Car,2010,Adult,Midnight
2,2010-08-30,1700,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Car,2010,Adult,Noon
2,2010-08-30,1700,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,22,Car,2010,Adult,Noon
2,2010-08-30,1700,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,61,Car,2010,Adult,Noon
2,2010-08-30,1050,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,20,Car,2010,Adult,Daytime
1,2010-08-30,1635,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,80,Bus or coach (17 or more passenger seats),2010,Elderly,Noon
2,2010-08-30,1900,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Car,2010,Adult,Night
2,2010-08-30,2230,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,39,Car,2010,Adult,Night
1,2010-08-30,100,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,18,Car,2010,Adult,Midnight
1,2010-08-30,10,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,26,Car,2010,Adult,Midnight
1,2010-08-30,1830,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,16,Car,2010,Child,Night
2,2010-08-31,1505,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car,2010,Adult,Noon
1,2010-08-31,920,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,59,Car,2010,Adult,Daytime
2,2010-08-31,2015,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,11,Pedal cycle,2010,Child,Night
2,2010-08-31,1655,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,26,Car,2010,Adult,Noon
2,2010-08-31,1655,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,41,Car,2010,Adult,Noon
2,2010-08-31,1610,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,21,Motorcycle over 50cc and up to 125cc,2010,Adult,Noon
1,2010-08-31,20,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Serious,Male,20,Other Vehicle ,2010,Adult,Midnight
1,2010-08-31,1655,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,44,Goods vehicle 3.5 tonnes mgw and under,2010,Adult,Noon
2,2010-08-31,955,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,61,Car,2010,Adult,Daytime
2,2010-09-01,630,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Pedal cycle,2010,Adult,Daytime
2,2010-09-01,1745,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Motorcycle over 50cc and up to 125cc,2010,Adult,Noon
2,2010-09-01,2100,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,47,Motorcycle over 500cc,2010,Adult,Night
2,2010-09-01,1724,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,32,Car,2010,Adult,Noon
2,2010-09-01,800,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Car,2010,Adult,Daytime
2,2010-09-01,800,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,61,Car,2010,Adult,Daytime
2,2010-09-01,1810,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Car,2010,Adult,Night
2,2010-09-01,1900,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car,2010,Adult,Night
2,2010-09-01,1900,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Car,2010,Adult,Night
2,2010-09-01,1900,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,24,Car,2010,Adult,Night
2,2010-09-01,1900,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26,Car,2010,Adult,Night
2,2010-09-01,720,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,38,Car,2010,Adult,Daytime
2,2010-09-01,1040,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,84,Car,2010,Elderly,Daytime
2,2010-09-01,1040,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Car,2010,Adult,Daytime
2,2010-09-01,1040,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,82,Car,2010,Elderly,Daytime
3,2010-09-01,1030,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,51,Goods vehicle 3.5 tonnes mgw and under,2010,Adult,Daytime
3,2010-09-01,1030,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,58,Car,2010,Adult,Daytime
3,2010-09-01,1030,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,86,Car,2010,Elderly,Daytime
2,2010-09-02,1536,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,38,Motorcycle over 50cc and up to 125cc,2010,Adult,Noon
2,2010-09-02,1040,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,41,Motorcycle over 50cc and up to 125cc,2010,Adult,Daytime
2,2010-09-02,810,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,18,Car,2010,Adult,Daytime
2,2010-09-02,810,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,28,Taxi/Private hire car,2010,Adult,Daytime
2,2010-09-02,810,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,30,Taxi/Private hire car,2010,Adult,Daytime
2,2010-09-02,735,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car,2010,Adult,Daytime
1,2010-09-03,1725,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,9,Goods vehicle 3.5 tonnes mgw and under,2010,Child,Noon
2,2010-09-03,2109,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,33,Car,2010,Adult,Night
2,2010-09-03,2109,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,56,Car,2010,Adult,Night
2,2010-09-03,2109,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,48,Car,2010,Adult,Night
2,2010-09-03,2109,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,10,Car,2010,Child,Night
2,2010-09-03,2109,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,8,Car,2010,Child,Night
2,2010-09-03,1910,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,50,Pedal cycle,2010,Adult,Night
3,2010-09-04,1645,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,31,Goods vehicle 3.5 tonnes mgw and under,2010,Adult,Noon
2,2010-09-04,445,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,32,Car,2010,Adult,Midnight
2,2010-09-04,2100,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,21,Car,2010,Adult,Night
2,2010-09-04,2100,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,50,Car,2010,Adult,Night
1,2010-09-04,1515,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,62,Car,2010,Adult,Noon
2,2010-09-04,1510,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,43,Car,2010,Adult,Noon
1,2010-09-04,124,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,32,Minibus (8 – 16 passenger seats),2010,Adult,Midnight
2,2010-09-05,1540,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Car,2010,Adult,Noon
2,2010-09-06,2110,Wet / Damp,Darkness: street lighting unknown,Raining with high winds,Driver,Slight,Male,16,Pedal cycle,2010,Child,Night
1,2010-09-06,1533,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,79,Bus or coach (17 or more passenger seats),2010,Elderly,Noon
2,2010-09-06,511,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,22,Car,2010,Adult,Midnight
2,2010-09-06,511,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,36,Car,2010,Adult,Midnight
2,2010-09-06,820,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,36,Pedal cycle,2010,Adult,Daytime
2,2010-09-06,714,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,41,Goods vehicle 3.5 tonnes mgw and under,2010,Adult,Daytime
2,2010-09-06,1415,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,37,Car,2010,Adult,Noon
2,2010-09-06,1415,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car,2010,Adult,Noon
1,2010-09-07,730,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,18,Car,2010,Adult,Daytime
3,2010-09-07,1855,Wet / Damp,Daylight: street lights present,Other,Driver,Slight,Male,45,Pedal cycle,2010,Adult,Night
1,2010-09-07,1515,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,14,Bus or coach (17 or more passenger seats),2010,Child,Noon
1,2010-09-07,1141,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,46,Car,2010,Adult,Daytime
2,2010-09-07,1740,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,22,Motorcycle over 50cc and up to 125cc,2010,Adult,Noon
2,2010-09-07,1740,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,77,Car,2010,Elderly,Noon
1,2010-09-07,1715,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,20,Car,2010,Adult,Noon
5,2010-09-07,1752,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,47,Goods vehicle 7.5 tonnes mgw and over,2010,Adult,Noon
5,2010-09-07,1752,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Goods vehicle 3.5 tonnes mgw and under,2010,Adult,Noon
5,2010-09-07,1752,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,44,Car,2010,Adult,Noon
5,2010-09-07,1752,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Car,2010,Adult,Noon
2,2010-09-08,1630,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,38,Pedal cycle,2010,Adult,Noon
2,2010-09-08,2055,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,18,Car,2010,Adult,Night
2,2010-09-08,2055,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,19,Car,2010,Adult,Night
3,2010-09-08,1630,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,34,Motorcycle over 500cc,2010,Adult,Noon
1,2010-09-08,2035,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,55,Car,2010,Adult,Night
2,2010-09-09,745,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,29,Car,2010,Adult,Daytime
2,2010-09-09,745,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,16,Pedal cycle,2010,Child,Daytime
2,2010-09-09,1725,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,43,Pedal cycle,2010,Adult,Noon
2,2010-09-09,1425,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,47,Car,2010,Adult,Noon
2,2010-09-09,1425,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car,2010,Adult,Noon
2,2010-09-09,1425,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car,2010,Adult,Noon
2,2010-09-09,2028,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Female,47,Car,2010,Adult,Night
2,2010-09-09,2028,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,56,Car,2010,Adult,Night
1,2010-09-09,1548,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,11,Car,2010,Child,Noon
2,2010-09-09,5,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,19,Car,2010,Adult,Midnight
2,2010-09-09,5,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,45,Car,2010,Adult,Midnight
2,2010-09-09,5,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,19,Car,2010,Adult,Midnight
2,2010-09-09,5,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,56,Car,2010,Adult,Midnight
2,2010-09-09,1526,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,27,Pedal cycle,2010,Adult,Noon
2,2010-09-10,2243,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,39,Car,2010,Adult,Night
2,2010-09-10,1915,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,23,Motorcycle over 125cc and up to 500cc,2010,Adult,Night
1,2010-09-10,2350,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,43,Car,2010,Adult,Night
1,2010-09-10,1110,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,48,Car,2010,Adult,Daytime
1,2010-09-10,1905,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,14,Car,2010,Child,Night
2,2010-09-10,1638,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car,2010,Adult,Noon
2,2010-09-10,1609,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Motorcycle over 500cc,2010,Adult,Noon
2,2010-09-11,2100,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,53,Car,2010,Adult,Night
