Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,Accident Year,Age Group of Casualty,Time Period
1,2009-01-12,1800,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,7,Car,2009,Child,Noon
2,2009-01-12,1915,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,23,Motorcycle over 50cc and up to 125cc,2009,Adult,Night
2,2009-01-12,1240,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,46,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,2009,Adult,Noon
2,2009-01-13,650,Wet / Damp,Darkness: no street lighting,Raining without high winds,Driver,Slight,Female,25,Car,2009,Adult,Daytime
2,2009-01-13,1550,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,20,Pedal cycle,2009,Adult,Noon
2,2009-01-13,2130,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,38,Pedal cycle,2009,Adult,Night
2,2009-01-14,1830,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,37,Car,2009,Adult,Night
2,2009-01-14,712,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,38,Car,2009,Adult,Daytime
2,2009-01-14,845,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,26,Pedal cycle,2009,Adult,Daytime
2,2009-01-14,1737,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,16,M/cycle 50cc and under,2009,Child,Noon
2,2009-01-14,1753,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Serious,Male,37,Pedal cycle,2009,Adult,Noon
2,2009-01-14,1138,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car,2009,Adult,Daytime
